Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0f23gGmTozARE1nllTlNlN,"The Frail","The Fragile","Nine Inch Nails",1999-09-21,114040,47,false,vicho-x,2026-04-24T17:59:41Z,"rock industrial,industrial,metal industrial,metal alternativo,nu metal","Universal-Island Records Ltd.",0.141,0.00327,0,-34.883,1,0.045,0.958,0.899,0.243,0.199,79.699,3
spotify:track:4uJSCrI7r0usNJ3aaHAuC6,"Windowpane","Damnation","Opeth",2003-04-22,464280,58,false,vicho-x,2026-04-24T17:59:54Z,"metal progresivo,rock progresivo,metal,death metal,death metal melódico","Sony BMG Music Entertainment",0.328,0.553,6,-6.252,1,0.0267,0.156,0.412,0.0985,0.322,159.959,4
spotify:track:1glFF4n9u6dFtNdGcFXTUi,"Whatever That Hurts","Wildhoney","Tiamat",1994-09-01,348200,37,false,vicho-x,2026-04-24T18:00:03Z,"metal gótico,doom metal,rock gótico,metal sinfónico","Century Media",0.565,0.713,7,-8.213,1,0.0287,0.0485,0.498,0.126,0.229,127.532,4
spotify:track:08uVRkAnmSjUY2FUh6Iu0K,"Opium","Irreligious","Moonspell",1997,166840,45,false,vicho-x,2026-04-24T18:00:16Z,"metal gótico,doom metal,rock gótico,metal sinfónico,metal,black metal","Century Media",0.486,0.909,2,-6.978,1,0.0336,0.000163,0.742,0.14,0.273,74.729,4
spotify:track:0kfe9dDMNl5q8b6TjfZ76u,"Deep - Remastered","Judgement (Remastered)","Anathema",1999,293293,46,false,vicho-x,2026-04-24T18:00:33Z,"doom metal,metal gótico,rock progresivo,metal progresivo","Music For Nations",0.425,0.643,2,-7.626,1,0.0316,0.000446,0.0229,0.149,0.165,136.019,4
spotify:track:4hR14VYVeakyJCzr893fY5,"The Enemy","In Requiem","Paradise Lost",2007-05-21,219053,30,false,vicho-x,2026-04-24T18:00:41Z,"metal gótico,doom metal,rock gótico,sludge metal,metal,stoner metal","Paradise Lost",0.403,0.916,0,-5.51,1,0.0529,0.00000647,0.0107,0.238,0.282,127.846,4
spotify:track:5CeBScprfZSLKq9pSrbiE5,"July","The Great Cold Distance","Katatonia",2006-03-13,285306,46,true,vicho-x,2026-04-24T18:01:00Z,"metal gótico,doom metal,metal progresivo,rock progresivo,metal","Peaceville Records",0.451,0.831,2,-6.586,0,0.0403,0.000713,0.383,0.383,0.425,133.038,4
spotify:track:5oVSFQUi1hBYYRiNeOwfWy,"For My Fallen Angel","Like Gods Of The Sun","My Dying Bride",1996,355973,33,false,vicho-x,2026-04-24T18:01:11Z,"doom metal,metal gótico,sludge metal,stoner metal,rock gótico","Snapper Music",0.169,0.328,1,-12.746,0,0.0413,0.682,0.955,0.0807,0.0367,129.327,5
spotify:track:5ArNGisLzrNOIVwWajRRdt,"Mein Herz brennt","Mutter","Rammstein",2001-04-02,279893,72,false,vicho-x,2026-04-24T18:02:27Z,"metal industrial,metal,rock industrial,industrial","Vertigo Berlin",0.501,0.76,2,-5.802,0,0.0343,0.00268,0.0616,0.152,0.138,83.046,4
spotify:track:4L5r9XNiWJ7cbqcIiNvVes,"The Hand That Feeds","With Teeth (Bonus Tracks)","Nine Inch Nails",2005-05-03,211680,64,false,vicho-x,2026-04-24T18:02:37Z,"rock industrial,industrial,metal industrial,metal alternativo,nu metal","Nothing",0.587,0.99,0,-4.496,1,0.0783,0.0172,0.000668,0.104,0.486,127.992,4
spotify:track:2YGwSRjcY4Hjz6fktW9619,"Tourniquet","Antichrist Superstar","Marilyn Manson",1996,269000,62,false,vicho-x,2026-04-24T18:05:40Z,"metal industrial,rock industrial,industrial,metal,nu metal","Marilyn Manson / Interscope",0.541,0.854,5,-7.066,0,0.0426,0.00109,0.000199,0.781,0.381,90.066,4
spotify:track:1gUq6SezLS3lc7KxBZaA3A,"Shut Your Mouth","Nothing Remains The Same","PAIN",2002-01-01,192986,60,true,vicho-x,2026-04-24T18:06:35Z,"metal industrial,rock industrial,industrial,metal","Nuclear Blast",0.562,0.912,2,-4.461,1,0.0383,0.0032,0,0.115,0.55,120.021,4
spotify:track:2viHUlFHxfB7qU2nA3YZAL,"Renuncia al Sol","Skizoo","Skizoo",2005-01-01,231131,33,false,vicho-x,2026-04-24T18:41:03Z,"","Independent",0.519,0.92,8,-2.44,1,0.0626,0.000474,0.0111,0.157,0.424,139.9,4
